boundary-expansion	Given one workload + a hypothesized axis (input_len / max_concurrency / output_len), generate N neighbor workload YAMLs along that axis to probe for nonlinear regime boundaries.
cross-regime-anomaly	Read a regime_sweep_summary.json matrix and emit an anomaly_report.json that ranks "interesting" findings — winner inversions, regime-dependent gaps, reliability flags, large within-row variance. This is the skill that automates the question "where should I look for an optimization opportunity?"
e2e-bench-runner	Run a multi-regime end-to-end benchmark against any OpenAI-compatible or sglang-native server, repeat N times with cold-run dropping, and emit a structured bench_summary.json with throughput + latency percentiles + run-to-run stddev. Regimes are configurable via YAML.
failure-classification	Classify a benchmark run failure (or near-failure) into a typed category that downstream scoring/agents can branch on.
fusion-gap-hunting	Find kernels a model runs unfused that the framework already ships a fused implementation for, by combining a static AST scan of the dispatch code with an FX trace sweep or an operator-level profile audit.
handoff-prompt-template	Methodology skill (no impl). Defines the contract by which an "analysis agent" (which has free run of the profiling toolkit) passes a structured, falsifiable, minimal-scope task to a "coding agent" (which only edits code and verifies). Prevents narrative loss + scope creep when two agents share information through natural language.
minimal-repro-shrink	Binary-shrink a workload along (num_prompts, max_concurrency, input_len, output_len) until the symptom disappears, producing the smallest workload that still reproduces the suspicious metric.
ncu-microarch	Run `sudo ncu` (Nsight Compute) against a specific kernel regex while a target command executes, then reduce the CSV to ncu_summary.json with curated microarchitectural metrics (SM occupancy, DRAM throughput, L1/L2 hit rate, tensor-core utilization, top warp-stall reason). The "why is this kernel slow?" skill that complements nsys-timeline-sql's "which kernel is slow?".
noise-aware-scoring	Compute per-metric coefficient-of-variation from N repeated baseline runs, and provide noise-adjusted thresholds for downstream scoring.
nsys-capture	Wrap an arbitrary action (a bench run, a single curl, an N-second sleep) with `nsys profile`, then immediately export the .nsys-rep to SQLite so downstream skills can SQL-query it without reopening the binary trace.
nsys-timeline-sql	Reduce an nsys-exported SQLite database to a curated `timeline_summary.json` (GPU active/idle, top-10 kernels, top idle gaps, CPU launch counts, cudagraph vs eager ratio, memcpy stats). Also exposes a `query` sub-command for arbitrary read-only SQL plus a recipe library of pre-written diagnostic queries.
profile-summary-unified	Define a single canonical JSON schema that merges outputs from e2e-bench-runner, nsys-timeline-sql, pytorch-profiling, and any framework-specific torch profiler into one profile_unified.json. Carries an evidence_chain that records which field came from which skill, so downstream agents (especially coding agents reading handoff prompts) have a single, auditable source of truth.
pytorch-profiling	Capture a sglang Torch profile (CPU+GPU activities) for a problem package's target workload, then reduce the trace to a structured profile_summary.json (top kernels, phase breakdown, MoE expert dispatch overhead, CUDA-graph fallback count).
regime-bench-harness	|
regime-sweep-runner	|
server-log-mining	Parse a sglang server.log into structured features (cuda graph capture range, max_running_requests, KV pressure, retract events, token usage peak).
suspicion-scoring	Combine server-log-mining, failure-classification, noise-aware-scoring, and local-nonlinearity into one suspicion score per workload run, with full evidence audit trail.
three-layer-optimization-campaign	Run the full serving-config / kernel-config / kernel-rewrite factorial on a new model, producing a 6-regime x 8-cell ablation matrix that tests whether kernel rewriting still pays on top of both tuning ceilings.
